"sample" "reference" "size" "megan.taxonomy" "OTU" "exclude.itsx" "exclude.lc" "exclude.lichen" "exclude.smallotus" "ref.otu" "size.otu" "hit.otu" "kingdom" "evk" "division" "evd" "class" "evc" "order" "evo" "family" "evf" "genus" "evg" "species" "evs"
"ITA87PB02DLNWA" "A227" "ITA87PB02DLNWA" "156" " Not assigned" "1" "0" "0" "0" "0" "ITA87PB02CYCFC" "6312" "JN906464" "Fungi" "-88.1913807143337" "Basidiomycota" "-19.1138279245123" "Tremellomycetes" "-19.1138279245123" "Tremellales" "-19.1138279245123" "unidentified" "-88.1913807143337" "unidentified" "-88.1913807143337" "Tremellomycetes" "-15.4249484703984"
"ITA87PB02EU5ZJ" "A482" "ITA87PB02EU5ZJ" "133" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02EKH9D" "A361" "ITA87PB02EKH9D" "129" " Fibulobasidium" "3" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02C8KGT" "A361" "ITA87PB02C8KGT" "118" " Fibulobasidium" "39" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02C3NHY" "A243" "ITA87PB02C3NHY" "109" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02EPXXF" "A482" "ITA87PB02EPXXF" "105" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DS4ZR" "A280" "ITA87PB02DS4ZR" "102" " Chaetothyriales sp. 16708" "24" "0" "0" "0" "0" "ITA87PB02D4OA3" " 961" "EF159564" "Fungi" "-211.837828555452" "Ascomycota" "-208.148949101338" "Eurotiomycetes" "-208.148949101338" "Chaetothyriales" "-208.148949101338" "Herpotrichiellaceae" "-208.148949101338" "Cladophialophora" "-208.148949101338" "Cladophialophora" "-208.148949101338"
"ITA87PB02DBTKA" "A670" "ITA87PB02DBTKA" "100" " Teratosphaeria cryptica" "38" "0" "0" "0" "0" "ITA87PB02DROC0" " 535" "JN904617" "Fungi" "-53.470282762629" "Ascomycota" "-51.0135469898077" "Dothideomycetes" "-51.0135469898077" "Capnodiales" "-51.0135469898077" "Teratosphaeriaceae" "-49.5582597572009" "Hortaea" "-49.5582597572009" "Dothideomycetes" "-51.0135469898077"
"ITA87PB02DWD7Q" "A476" "ITA87PB02DWD7Q" "98" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02EOWQE" "A476" "ITA87PB02EOWQE" "97" " Cladophialophora chaetospira" "21" "0" "0" "0" "0" "ITA87PB02ENF3B" "1931" "FN298727" "Fungi" "-146.672298771059" "Ascomycota" "-146.672298771059" "Eurotiomycetes" "-146.672298771059" "Chaetothyriales" "-146.672298771059" "Herpotrichiellaceae" "-146.672298771059" "Cladophialophora" "-145.286004409939" "Herpotrichiellaceae" "-146.672298771059"
"ITA87PB02CYK1X" "A360" "ITA87PB02CYK1X" "92" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02DE8UL" "A361" "ITA87PB02DE8UL" "91" " Fibulobasidium" "3" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02DA5G7" "A476" "ITA87PB02DA5G7" "90" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02EJ2MN" "A670" "ITA87PB02EJ2MN" "89" " Fibulobasidium" "40" "0" "0" "0" "0" "ITA87PB02EJ2MN" " 304" "KF823589" "Fungi" "-119.04127765513" "Basidiomycota" "-119.04127765513" "Tremellomycetes" "-119.04127765513" "Tremellales" "-119.04127765513" "Sirobasidiaceae" "-119.04127765513" "unidentified" "-119.04127765513" "uncultured" "-119.04127765513"
"ITA87PB02D92ON" "A243" "ITA87PB02D92ON" "89" " Cladophialophora sp. 94002a" "41" "0" "0" "0" "0" "ITA87PB02D92ON" " 195" "EU139133" "Fungi" "-218.052436653874" "Ascomycota" "-218.052436653874" "Eurotiomycetes" "-218.052436653874" "Chaetothyriales" "-218.052436653874" "Herpotrichiellaceae" "-218.052436653874" "Cladophialophora" "-218.052436653874" "Cladophialophora" "-218.052436653874"
"ITA87PB02EV22N" "A361" "ITA87PB02EV22N" "87" " Fibulobasidium" "3" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02D95NL" "A243" "ITA87PB02D95NL" "84" " Fibulobasidium" "26" "0" "0" "0" "0" "ITA87PB02ERHWS" "2524" "KF823589" "Fungi" "-108.732324994486" "Basidiomycota" "-108.732324994486" "Tremellomycetes" "-108.732324994486" "Tremellales" "-108.732324994486" "Sirobasidiaceae" "-108.732324994486" "unidentified" "-108.732324994486" "uncultured" "-108.732324994486"
"ITA87PB02DQWIU" "A361" "ITA87PB02DQWIU" "83" " Fibulobasidium" "3" "0" "0" "0" "0" "NO_OTU" NA NA "Fungi" NA "Basidiomycota" NA "Tremellomycetes" NA "Tremellales" NA NA NA NA NA NA NA
"ITA87PB02C23PJ" "A172" "ITA87PB02C23PJ" "83" " Chaetothyriales sp. 16708" "24" "0" "0" "0" "0" "ITA87PB02D4OA3" " 961" "EF159564" "Fungi" "-211.837828555452" "Ascomycota" "-208.148949101338" "Eurotiomycetes" "-208.148949101338" "Chaetothyriales" "-208.148949101338" "Herpotrichiellaceae" "-208.148949101338" "Cladophialophora" "-208.148949101338" "Cladophialophora" "-208.148949101338"
"ITA87PB02DWE5T" "A809" "ITA87PB02DWE5T" "82" " Ascomycota sp. AR-2010" "10" "0" "0" "0" "0" "ITA87PB02D8COF" "5247" "KF309963" "Fungi" "-166.009270246886" "Ascomycota" "-166.009270246886" "Dothideomycetes" "-166.009270246886" "Capnodiales" "-135.159373306089" "Mycosphaerellaceae" "-135.159373306089" "Penidiella" "-108.444642922034" "Dothideomycetes" "-166.009270246886"
"ITA87PB02ECJ2G" "A434" "ITA87PB02ECJ2G" "82" " Catenulostroma hermanusense" "28" "0" "0" "0" "0" "ITA87PB02C48DP" " 855" "AY843175" "Fungi" "-164.687514406903" "Ascomycota" "-164.687514406903" "Dothideomycetes" "-164.687514406903" "Capnodiales" "-164.687514406903" "Teratosphaeriaceae" "-139.071396311517" "Catenulostroma" "-139.071396311517" "Capnodiales" "-164.687514406903"
"ITA87PB02D9JP1" "A032" "ITA87PB02D9JP1" "81" " Micarea doliiformis" "42" "0" "0" "0" "0" "ITA87PB02D9JP1" " 147" "JN904518" "Fungi" "-224.554726824748" "unidentified" "-224.554726824748" "unidentified" "-224.554726824748" "unidentified" "-224.554726824748" "unidentified" "-224.554726824748" "unidentified" "-224.554726824748" "uncultured" "-224.554726824748"
"ITA87PB02EM0WR" "A832" "ITA87PB02EM0WR" "79" " Not assigned" "1" "0" "0" "0" "0" "ITA87PB02CYCFC" "6312" "JN906464" "Fungi" "-88.1913807143337" "Basidiomycota" "-19.1138279245123" "Tremellomycetes" "-19.1138279245123" "Tremellales" "-19.1138279245123" "unidentified" "-88.1913807143337" "unidentified" "-88.1913807143337" "Tremellomycetes" "-15.4249484703984"
"ITA87PB02D8MDU" "A280" "ITA87PB02D8MDU" "78" " Myriangium" "43" "0" "0" "0" "0" "ITA87PB02D8MDU" " 143" "AM999638" "Fungi" "-177.522195711856" "Ascomycota" "-73.7880834914673" "Dothideomycetes" "-73.7880834914673" "Myriangiales" "-73.7880834914673" "Myriangiaceae" "-59.8672124178452" "Myriangium" "-59.8672124178452" "fungal" "-81.5067689866657"
"ITA87PB02EMNUX" "A243" "ITA87PB02EMNUX" "78" " Herpotrichiellaceae" "44" "0" "0" "0" "0" "NO_OTU" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"ITA87PB02DHHFY" "A032" "ITA87PB02DHHFY" "78" " Ascomycota" "29" "0" "0" "0" "0" "ITA87PB02DIBI0" " 520" "AM999707" "Fungi" "-218.052436653874" "Ascomycota" "-218.052436653874" "Dothideomycetes" "-210.451534194332" "Botryosphaeriales" "-210.451534194332" "unidentified" "-218.052436653874" "unidentified" "-218.052436653874" "Ascomycota" "-218.052436653874"
